False Positive Rate,True Positive Rate,Recall,Precision
1,1,1,0.13012869
0.098596342,0.766705069,0.766705069,0.534538153
0.053351573,0.585308057,0.585308057,0.612903226
0.058454936,0.676271186,0.676271186,0.637380192
0.075951528,0.739361702,0.739361702,0.584306399
0.074913194,0.658883827,0.658883827,0.572772277
0.043296328,0.625,0.625,0.676451819
0.043957938,0.60772244,0.60772244,0.680451128
0.046089749,0.585805701,0.585805701,0.654746424
0.03362457,0.60058651,0.60058651,0.728825623
0.044889917,0.639590854,0.639590854,0.669817265
0.01739503,0.505875441,0.505875441,0.809210526
0.011661552,0.474794842,0.474794842,0.858960764
0.017505661,0.523889826,0.523889826,0.822594881
0.018780573,0.521282799,0.521282799,0.80613165
0.012615278,0.4489093,0.4489093,0.843581446
0.018018802,0.542391915,0.542391915,0.823529412
0.010651195,0.486803519,0.486803519,0.870933893
0.008492201,0.460578559,0.460578559,0.892307692
0.012079604,0.468978102,0.468978102,0.847252747
0.010487995,0.495575221,0.495575221,0.87408949
0.007852718,0.457803468,0.457803468,0.897959184
0.008610298,0.404610951,0.404610951,0.875311721
0.009257627,0.453846154,0.453846154,0.879587156
0.009100187,0.399760622,0.399760622,0.861935484
0.007382317,0.443109987,0.443109987,0.891857506
0.004263836,0.301633606,0.301633606,0.913427562
0.005153311,0.408198614,0.408198614,0.921773142
0.003803596,0.373065903,0.373065903,0.936690648
0.00592173,0.396118722,0.396118722,0.909567497
0.006159452,0.447971781,0.447971781,0.914765906
0.005123307,0.364864865,0.364864865,0.913235294
0.004862377,0.276832845,0.276832845,0.893939394
0.002361585,0.209529627,0.209529627,0.927027027
0.001625182,0.240751281,0.240751281,0.957013575
0.003117153,0.252873563,0.252873563,0.920704846
0.003313568,0.257744009,0.257744009,0.920668059
0.002577763,0.206459054,0.206459054,0.922680412
0.002353967,0.246453901,0.246453901,0.939189189
0.002152204,0.248210024,0.248210024,0.943310658
0.002001741,0.218507463,0.218507463,0.940874036
0.00410911,0.259237187,0.259237187,0.902489627
0.000939127,0.232515337,0.232515337,0.971794872
0.001820546,0.211226852,0.211226852,0.945595855
0.001552929,0.266317016,0.266317016,0.962105263
0.001727265,0.22095672,0.22095672,0.950980392
0.000942911,0.182134571,0.182134571,0.966153846
0.000788022,0.195121951,0.195121951,0.973913044
0.002933817,0.249850924,0.249850924,0.924944812
0.001218345,0.205749718,0.205749718,0.963060686
0.001285457,0.181924198,0.181924198,0.95412844